C-GRAD	C-PAR	C-SEQ	D-PAR	D-SEQ
0.4435122	0.44376346	0.1446132593167325	0.29885748	0.1454958246710399
0.44363722	0.44376346	0.0252433054459591	0.29930043	0.0581256165169179
0.4436385	0.19581734	0.0859768943240245	0.3594478	0.0739615162213643
0.44376346	0.46127316	0.1453695634069542	0.29896706	0.1283522763599952
0.4436385	0.4436372	0.1033245188494523	0.32376346	0.1955648146880169
0.44363722	0.44376346	0.1822243252148231	0.44376346	0.1265967035045226
0.5041183	0.44376346	0.0412054676562547	0.34152442	0.0861018939564625
0.4436385	0.4436385	0.1014162469655275	0.4435122	0.0588291636668145
0.44363722	0.20965026	0.1454958246710399	0.30024424	0.0825805757194757
0.19581734	0.44376346	0.058071589252601	0.21022753	0.1592024763425191
