generation	max_fitness
0	0.9
1	0.9
2	0.9
3	0.9
4	1.8
5	0.9
6	0.9
7	0.9
8	0.9
9	0.9
10	0.9
11	0.9
12	0.9
13	0.9
14	0.9
15	0.9
16	0.9
17	0.9
18	0.9
19	0.9
20	0.9
21	0.9
22	0.9
23	0.9
24	0.9
25	3.3
26	3.3
27	4.5
28	4.5
29	4.5
30	4.5
31	5.1
32	5.1
33	5.1
34	5.1
35	5.1
36	5.1
37	5.1
38	5.1
39	5.1
40	5.1
41	5.1
42	5.1
43	5.1
44	5.1
45	5.1
46	5.1
47	5.1
48	5.1
49	5.1
50	5.1
51	5.1
52	5.1
53	5.1
54	5.1
55	5.1
56	5.1
57	5.1
58	5.1
59	5.1
60	5.1
61	5.1
62	5.1
63	5.1
64	5.1
65	5.1
66	5.1
67	12.7
68	12.7
69	12.7
70	12.7
71	12.7
72	12.7
73	12.7
74	12.7
75	12.7
76	12.7
77	12.7
78	12.7
79	12.7
80	12.7
81	12.7
82	12.7
83	12.7
84	12.7
85	12.7
86	12.7
87	12.7
88	12.7
89	12.7
90	12.7
91	12.7
92	12.7
93	12.7
94	14.5
95	14.5
96	14.5
97	14.5
98	14.5
99	14.5
